"source_id","title","year","source_type","evidence_tier","url","version","claim","task_or_dataset","baseline","metric","code_or_data","limitations","papai_relevance","replication_status"
"AM11","HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models","2024","peer_reviewed_paper","E1","https://openreview.net/forum?id=hkujvAPVsg","OpenReview:hkujvAPVsg; NeurIPS 2024; DOI:10.52202/079017-1902","Combines an extracted knowledge graph with Personalized PageRank for retrieval over newly indexed documents.","Multi-hop question answering tasks described in the paper","RAG and iterative-retrieval baselines described in the paper","retrieval and answer metrics described in the paper","https://github.com/OSU-NLP-Group/HippoRAG","Document QA differs from scoped conversational memory; graph extraction, temporal validity, deletion, and entity errors require separate testing.","Supports bounded graph retrieval as a candidate, not an assumption that a graph store solves lifecycle errors.","not_run"
"AM12","From Local to Global: A Graph RAG Approach to Query-Focused Summarization","2024","preprint","E2","https://arxiv.org/abs/2404.16130v1","arXiv:2404.16130v1","Proposes extracting an entity graph, forming communities, generating community summaries, and aggregating them for global corpus questions.","Query-focused summarization over large text corpora","naive RAG described in the paper","LLM-judged comprehensiveness, diversity, and related measures","https://github.com/microsoft/graphrag","Frozen evidence is the v1 preprint; model-heavy indexing and LLM judging do not establish temporal or deletion behavior.","Defines the GraphRAG family and its global-summary use case for comparison with event-oriented memory.","not_run"
"AM13","Zep: A Temporal Knowledge Graph Architecture for Agent Memory","2025","vendor_preprint","E3","https://arxiv.org/abs/2501.13956v1","arXiv:2501.13956v1","Proposes a temporally aware knowledge graph that integrates conversational and structured data while retaining historical relationships.","Deep Memory Retrieval and LongMemEval evaluations described in the paper","MemGPT and other implementations described in the paper","task accuracy and latency reported by the authors","https://github.com/getzep/graphiti","Vendor-authored preprint with unreplicated comparisons; its extraction stack and deployment differ from papai.","Provides a concrete temporal-graph hypothesis while requiring independent local evaluation and conservative claims.","not_run"
"AM14","LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory","2025","peer_reviewed_benchmark","E1","https://openreview.net/forum?id=wIonk5yTDq","OpenReview:wIonk5yTDq; ICLR 2025","Defines benchmark tasks for information extraction, multi-session reasoning, temporal reasoning, knowledge updates, and abstention.","LongMemEval","commercial assistants and long-context/retrieval designs described in the paper","LLM-judged answer accuracy and task-specific measures","https://github.com/xiaowu0162/LongMemEval","Uses a reader and judge; results depend on prompts, model versions, history construction, and dataset revision.","Directly motivates papai's long-range, temporal-conflict, update, and abstention slices.","not_run"
"AM15","Evaluating Very Long-Term Conversational Memory of LLM Agents","2024","peer_reviewed_benchmark","E1","https://aclanthology.org/2024.acl-long.747/","ACL Anthology:2024.acl-long.747; DOI:10.18653/v1/2024.acl-long.747","Introduces LoCoMo, long multi-session conversations and tasks for question answering, event summarization, and multimodal dialogue generation.","LoCoMo","long-context and retrieval designs described in the paper","task-specific answer, summary, and generation measures","https://github.com/snap-research/locomo","Synthetic agent conversations are human-verified but are not papai traffic; multimodal/generative scores are not component retrieval metrics.","Useful public long-conversation input, reported separately from the deterministic synthetic corpus.","not_run"
"AM16","Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions","2026","peer_reviewed_benchmark","E1","https://openreview.net/forum?id=DT7JyQC3MR","OpenReview:DT7JyQC3MR; ICLR 2026; arXiv:2507.05257v4","Defines MemoryAgentBench around incremental interactions and competencies including accurate retrieval, test-time learning, long-range understanding, and conflict or forgetting behavior.","MemoryAgentBench","long-context, RAG, and agent-memory systems described in the paper","accuracy, exact match, Recall@5, and judge-based measures by subtask","https://github.com/HUST-AI-HYZ/MemoryAgentBench","Aggregates heterogeneous adapted datasets and metrics; some subtasks require model readers or judges and the repository is unpinned here.","Broadens papai evaluation beyond static retrieval while requiring per-subtask reporting.","not_run"
"AM17","MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents","2025","peer_reviewed_benchmark","E1","https://aclanthology.org/2025.findings-acl.989/","ACL Anthology:2025.findings-acl.989; DOI:10.18653/v1/2025.findings-acl.989","Defines factual and reflective memory levels, participation and observation settings, and effectiveness, efficiency, and capacity evaluation dimensions.","MemBench","memory-agent baselines described in the paper","effectiveness, efficiency, and capacity metrics described in the paper","https://github.com/import-myself/Membench","Its environments, readers, and memory definitions differ from papai's scoped retrieval contract.","Provides reflective-memory and resource-evaluation cases for an optional public track.","not_run"
"AM18","Dense Passage Retrieval for Open-Domain Question Answering","2020","peer_reviewed_paper","E1","https://aclanthology.org/2020.emnlp-main.550/","ACL Anthology:2020.emnlp-main.550; DOI:10.18653/v1/2020.emnlp-main.550","Demonstrates a dual-encoder dense passage retriever learned from question-passage examples as an alternative retrieval channel to sparse methods.","Open-domain question answering datasets described in the paper","Lucene BM25 and QA systems described in the paper","top-k passage retrieval accuracy and answer exact match","https://github.com/facebookresearch/DPR","Open-domain passages are not temporal multi-tenant memories; trained embeddings and reported scores are not used in the deterministic track.","Supports dense retrieval as a distinct channel whose metadata and failure repair must be explicit.","not_run"
"AM19","SQLite FTS5 Extension","2026","official_project_documentation","E3","https://www.sqlite.org/fts5.html","accessed:2026-07-23; SQLite documentation page unversioned","Documents SQLite FTS5 full-text indexing, query, ranking, tokenizer, and external-content-table mechanisms.","SQLite FTS5","not_applicable","not_applicable","https://www.sqlite.org/src/dir?ci=trunk&name=ext/fts5","Documentation is not a benchmark and the accessed page is not pinned to a SQLite release in this evidence freeze.","Shows that local SQLite can provide sparse retrieval primitives while architecture must supply scope and lifecycle semantics.","not_run"
"AM20","Locating and Editing Factual Associations in GPT","2022","peer_reviewed_paper","E1","https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html","NeurIPS 2022 proceedings:6f1d43d5a82a37e89b0665b33bf3a182","Studies factual associations in model parameters and proposes rank-one model editing with evaluation of efficacy, generalization, and specificity.","CounterFact and zero-shot relation extraction model-editing tasks","fine-tuning and model-editing baselines described in the paper","efficacy, generalization, specificity, and related editing measures","https://github.com/kmeng01/rome","Model editing does not provide per-user provenance, access filtering, or reliable hard erasure and is outside papai's default runtime.","Defines parametric memory and explains why it is not interchangeable with an external auditable store.","not_run"
"AM21","AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","2024","peer_reviewed_security_paper","E1","https://proceedings.neurips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html","NeurIPS 2024 proceedings:eb113910e9c3f6242541c1652e30dfd6","Demonstrates a backdoor attack that poisons similarity-retrieved long-term memory or a RAG knowledge base so triggered queries retrieve malicious demonstrations.","AgentDriver, StrategyQA/ReAct, and EHRAgent settings described in the paper","clean-memory and attack baselines described in the paper","attack success, benign utility, and retrieval-related attack measures","https://github.com/AI-secure/AgentPoison","The threat demonstrations use task-specific agents, embedders, models, and datasets; the repository is unpinned and no attack or defense is reproduced here.","Motivates treating persistent memory as untrusted data, separating relevance from authority, and testing poison propagation through derived state.","not_run"
"AM22","How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior","2026","peer_reviewed_paper","E1","https://aclanthology.org/2026.acl-long.27/","ACL Anthology:2026.acl-long.27; DOI:10.18653/v1/2026.acl-long.27","Studies memory addition and deletion across several agents and reports error propagation, misaligned experience replay, and benefits from quality-aware memory management in the evaluated settings.","Four agent and task settings described in the paper","fixed memory, add-all, selective-addition, and deletion strategies described in the paper","task performance, memory dynamics, similarity, and resource-constrained results","https://github.com/yuplin2333/agent_memory_manage","The released artifact covers only the AgentDriver patches and setting, depends on separately obtained AgentDriver code and data, and does not provide the paper's other settings; it is unpinned and not reproduced here.","Supports quality-gated promotion into experience replay while keeping canonical evidence and governance deletion separate.","not_run"
"AM23","Mem2ActBench: A Benchmark for Evaluating Long-Term Memory Utilization in Task-Oriented Autonomous Agents","2026","peer_reviewed_benchmark","E1","https://aclanthology.org/2026.acl-long.370/","ACL Anthology:2026.acl-long.370; DOI:10.18653/v1/2026.acl-long.370","Evaluates whether agents apply long-term memory to tool selection and parameter grounding rather than only answer explicit recall questions.","Mem2ActBench","seven memory frameworks described in the paper","task execution and memory-dependent tool-use measures described in the paper","https://github.com/Cantaloupe-M/Mem2ActBench","The benchmark uses synthesized sessions, model-driven agents, and tool environments; its repository is unpinned and its scores are not component-retrieval scores.","Motivates a separate downstream action-utilization track for papai without changing the deterministic retrieval score.","not_run"
"AM24","GroupMemBench: Benchmarking LLM Agent Memory in Multi-Party Conversations","2026","preprint_benchmark","E2","https://arxiv.org/abs/2605.14498v2","arXiv:2605.14498v2","Defines multi-party group-memory cases with speaker-grounded beliefs, threaded dynamics, audience-adapted language, knowledge updates, temporal reasoning, and abstention.","GroupMemBench","BM25, dense retrieval, and agent-memory systems described in the preprint","answer accuracy, construction cost, and storage measures described in the preprint","https://huggingface.co/datasets/kimperyang/GroupMemBench","Preprint evidence with synthetic English enterprise conversations and model-generated evaluation components; the dataset revision and companion code are not pinned here.","Exposes group and thread semantics that personal/group namespace isolation alone does not evaluate and requires a simple lexical baseline.","not_run"
"AM25","Beyond a Million Tokens: Benchmarking and Enhancing Long-Term Memory in LLMs","2026","peer_reviewed_benchmark","E1","https://arxiv.org/abs/2510.27246v2","arXiv:2510.27246v2; ICLR 2026 poster:10006595","Introduces BEAM with coherent synthetic conversations from 100K to 10M tokens and probes ten long-term-memory abilities, alongside the LIGHT memory architecture.","BEAM","long-context, retrieval-augmented, and memory-architecture baselines described in the paper","ability-specific answer measures across conversation-length tiers","https://github.com/mohammadtavakoli78/BEAM","The benchmark is model-reader based, synthetic, expensive at its largest tiers, and distinct from record-count retrieval scaling; code and data are unpinned here.","Adds a token-horizon scale axis that the existing 100K-record distractor profile does not establish.","not_run"
"AM26","PM-Bench: Evaluating Prospective Memory in LLM Agents","2026","peer_reviewed_benchmark","E1","https://arxiv.org/abs/2607.12385v1","arXiv:2607.12385v1; COLM 2026 conference paper","Evaluates whether agents execute, update, cancel, or withhold deferred intentions at the correct future time or event while continuing ongoing activity.","PM-Bench","single-agent, ledger, heartbeat, and multi-agent configurations described in the paper","set F1, precision, false actions, due-task hits, and monitoring cost","https://github.com/genglinliu/PMBench","The benchmark is newly released, model-dependent, and evaluates agent execution rather than retrieval alone; the repository is unpinned here.","Provides a direct future benchmark for papai prospective memory, including rescheduling, cancellation, false execution, and monitoring overhead.","not_run"
"AM27","Dissecting GraphRAG: A Modular Analysis of Knowledge Structuring for Factoid Question Answering","2026","peer_reviewed_paper","E1","https://aclanthology.org/2026.tacl-1.29/","ACL Anthology:2026.tacl-1.29; DOI:10.1162/tacl.a.615; TACL volume 14","Analyzes triple extraction, community granularity, and report generation, finding that extraction quality can bottleneck GraphRAG and that deterministic templates outperform LLM reports in the evaluated QA settings.","CDR-QA and DocRED-QA","module variants with controlled graph and reporting choices described in the paper","retrieval, answer, extraction-quality, and efficiency measures described in the paper","https://github.com/norikinishida/kapipe","Biomedical and encyclopedic factoid QA differ from temporal multi-tenant conversation memory; the implementation and data are unpinned and no result is reproduced here.","Supports measuring extraction and path quality separately and testing deterministic graph verbalization instead of assuming model summaries help.","not_run"
"AM28","Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory","2025","vendor_preprint","E3","https://arxiv.org/abs/2504.19413v1","arXiv:2504.19413v1","Presents a fact-extraction memory and a graph-enhanced variant; the authors report a small overall graph-over-base gain on their LoCoMo evaluation alongside latency and token comparisons.","LoCoMo","memory systems, RAG chunking, full-context, proprietary, and graph/base variants described in the preprint","F1, BLEU-1, LLM-judge, token, and latency measures","https://github.com/mem0ai/mem0","Vendor-authored preprint; its evaluation excludes the unanswerable category, uses model extraction and judging, and the current repository has evolved beyond the paper-era implementation without a pinned commit here.","Provides hypothesis-generating direct graph-versus-non-graph agent-memory evidence while reinforcing the need for a strict local graph gate.","not_run"
